"Dataset","F1","AUC","ER","RI","MCC","AP","RR","Popt","ACC"
"ECLIPSE-2007","0.8","0.07","0.2","0.6","0.69","0.37","0","0.11","1.63"
"ECLIPSE-2007","0.68","0.07","0.2","0.57","0.52","0.53","0","0.06","1.56"
"ECLIPSE-2007","[0.02,1.2]","[0.03,0.11]","[0.01,0.33]","[0.02,0.99]","[0.16,1.04]","[0.01,0.7]","[0,0]","[0.05,0.15]","[0.6,2.58]"
"Metrics-Repo-2010","4.48","2.5","10.55","14.35","12.29","2.59","4.82","12.31","22.58"
"Metrics-Repo-2010","5.15","3.33","20.08","21.18","24.94","4.03","17.32","28.11","71.82"
"Metrics-Repo-2010","[3.46,5.97]","[1.79,3.6]","[6.7,19.21]","[10.18,21.5]","[7.88,22.1]","[1.78,4]","[1.75,12.71]","[7.56,28.89]","[11.77,69.25]"
"JIRA-HA-2019","2.85","0.27","1.66","6.06","2.74","3.32","11.17","1.02","2.65"
"JIRA-HA-2019","3.08","0.31","1.69","5.37","2.65","3.79","34.05","1.31","3.67"
"JIRA-HA-2019","[2.05,4.08]","[0.19,0.39]","[1.24,2.27]","[4.57,7.92]","[2,3.68]","[2.25,4.63]","[4.37,33.18]","[0.74,1.68]","[1.63,3.91]"
"JIRA-RA-2019","1.56","0.45","1.2","3.57","2.13","2.34","8.23","3.24","11.01"
"JIRA-RA-2019","1.53","0.61","2.18","4.21","2.31","3.31","18.85","14.28","41.4"
"JIRA-RA-2019","[1.2,2.15]","[0.32,0.79]","[0.73,2.12]","[2.49,5.1]","[1.53,2.96]","[1.59,3.82]","[4.28,16.92]","[0.92,12.36]","[4,37.73]"
"MA-SZZ-2020","2.33","0.25","1.03","3.65","2.96","1.79","2.44","0.64","2.76"
"MA-SZZ-2020","3.29","0.23","1.38","5","3.95","3.17","13.79","0.73","4.86"
"MA-SZZ-2020","[1.95,2.85]","[0.22,0.28]","[0.87,1.28]","[3.05,4.42]","[2.42,3.51]","[1.42,2.39]","[0.98,4.63]","[0.55,0.75]","[2.16,3.55]"
"IND-JLMIV+R-2020","7.6","0.65","2.56","11.15","8.33","4.24","12.19","1.83","11"
"IND-JLMIV+R-2020","15.48","0.87","3.95","15.55","15.69","4.75","45.68","1.78","18.77"
"IND-JLMIV+R-2020","[6.37,10.48]","[0.56,0.76]","[2.2,3.15]","[9.68,13.06]","[7.2,11.92]","[3.72,4.82]","[7.97,19.79]","[1.63,2.05]","[9.22,13.71]"
