"Dataset","F1","AUC","ER","RI","AP","RR","Popt","ACC"
"Metrics-Repo-2010","110.53","30.61","18.36","25.43","26.25","38.92","99.63","55.51"
"Metrics-Repo-2010","409.22","88.43","26.37","30.44","49.05","130.6","249.9","95.6"
"Metrics-Repo-2010","40.6","12.98","12.31","18.03","15.85","10.08","52.96","34.61"
"Metrics-Repo-2010","377.11","80.6","30.25","37.85","51.91","110.67","268.05","102.4"
"JIRA-HA-2019","8.51","2.97","2.04","7.6","6.71","229.91","82.12","54.49"
"JIRA-HA-2019","5.27","2.26","1.58","4.99","5.89","1186.17","231.46","191.96"
"JIRA-HA-2019","6.94","2.27","1.6","6.01","4.91","15.93","31.26","19.27"
"JIRA-HA-2019","10.39","3.82","2.65","9.33","9.17","1072.55","227.54","256.53"
"JIRA-RA-2019","4.79","2.22","1.39","4.99","5.28","22.56","53.44","125.22"
"JIRA-RA-2019","3.73","3","1.3","4.15","4.03","54.62","104.22","274.82"
"JIRA-RA-2019","3.71","1.44","1","3.71","4.04","9.69","29","56.08"
"JIRA-RA-2019","6.35","3.98","1.91","6.52","6.71","51.71","109.24","285.37"
"MA-SZZ-2020","54.9","13.09","31.1","35.22","19.09","233.1","43.52","140.79"
"MA-SZZ-2020","88.36","18.58","55.55","48.86","15.99","1111.39","65.88","221.1"
"MA-SZZ-2020","37.05","9.12","19.49","24.8","14.83","53.01","29.78","90.95"
"MA-SZZ-2020","102","20.93","53.47","55.26","24.09","1037.41","72.45","221.29"
