"Dataset","F1","AUC","ER","RI","AP","RR","Popt","ACC"
"Metrics-Repo-2010","89.94","30.53","42.24","44.76","104.77","53.87","39.32","23.26"
"Metrics-Repo-2010","124.45","38.55","139.77","72.87","452.39","84.7","67.84","33.44"
"Metrics-Repo-2010","61.16","21.55","17.59","29.44","30.08","32.7","24.62","14.21"
"Metrics-Repo-2010","140.21","47.7","160.07","79.54","392.43","84.86","69.89","34.78"
"JIRA-HA-2019","242.68","6.45","1.49","9.79","9.2","0","154.04","14.87"
"JIRA-HA-2019","1088.45","10.12","3.34","17.13","21.84","0","716.62","22.31"
"JIRA-HA-2019","40.93","3.81","0.67","5.49","4.32","0","23.25","8.5"
"JIRA-HA-2019","1025.82","11.14","3.53","18.71","21.86","0","657.84","24.68"
"JIRA-RA-2019","11.74","1.46","0.39","2.8","2.55","0","16.38","23.05"
"JIRA-RA-2019","31.57","3.58","0.57","5.34","4.79","0","43.13","87.73"
"JIRA-RA-2019","5.1","0.73","0.23","1.56","1.37","0","5.89","6.35"
"JIRA-RA-2019","28.28","4.32","0.64","6.02","5.47","0","42.25","86.86"
"MA-SZZ-2020","90.7","10.09","6.57","29.91","19.45","353.71","55.1","27.92"
"MA-SZZ-2020","228.34","8.92","12.35","52.4","21.48","1679.12","63.2","43.7"
"MA-SZZ-2020","42.35","7.68","3.1","14.68","13.51","83.9","38.67","19.03"
"MA-SZZ-2020","180.06","12.77","17.9","65.85","25.69","1768.9","73.41","47.09"
