"Dataset","F1","AUC","ER","RI","AP","RR","Popt","ACC"
"Metrics-Repo-2010","125.2","13.76","75.8","89.73","44.06","126.59","77.57","60.6"
"Metrics-Repo-2010","368.78","23.52","258.71","285.49","120.28","380.99","217.97","101.69"
"Metrics-Repo-2010","57.45","9.1","29.83","38.34","20.49","52.11","37.55","38.52"
"Metrics-Repo-2010","359.8","28.68","306.21","328.37","117.2","374.96","225.92","108.41"
"JIRA-HA-2019","59.3","71.97","2.21","16.58","13.81","18.28","163.84","119.99"
"JIRA-HA-2019","93.08","117.17","2.72","18.48","18.08","45.73","566.47","443.12"
"JIRA-HA-2019","35.17","37.31","1.52","11.43","8.77","7.12","39.22","31.85"
"JIRA-HA-2019","104.76","120.31","3.57","24.88","22.35","39","566.92","420.29"
"JIRA-RA-2019","17.15","2.43","1.21","6.84","3.75","15.26","23.55","51.37"
"JIRA-RA-2019","16.21","3.05","1.04","5.58","3.63","52.01","39.12","104.41"
"JIRA-RA-2019","12.14","1.61","0.94","5.2","2.7","3.02","13.33","27.02"
"JIRA-RA-2019","23.66","3.69","1.64","8.75","5.09","46.06","45.91","107.63"
"MA-SZZ-2020","202.07","169.76","22.51","31.76","19.26","1383.24","23.77","60.7"
"MA-SZZ-2020","661.47","378.78","35.37","38.6","18.99","5440.3","48.25","142.5"
"MA-SZZ-2020","70.22","93.16","14.67","23.43","14.55","390.94","14.87","29.66"
"MA-SZZ-2020","545.68","350.07","34.23","44.83","25.14","4690.83","49.19","118.99"
