"Dataset","F1","AUC","ER","RI","AP","RR","Popt","ACC"
"Metrics-Repo-2010","11.49","8.35","3.5","5.49","1.72","90.47","10.8","13.06"
"Metrics-Repo-2010","17.34","32.7","4.88","6.72","1.23","544.68","17.18","41.07"
"Metrics-Repo-2010","7.64","2.65","2.48","3.93","1.33","3.25","6.99","5.41"
"Metrics-Repo-2010","19.27","28.52","5.62","8.43","2.11","434.27","19.97","44.15"
"JIRA-HA-2019","5.61","0.63","2.81","7.12","2.97","20.19","30.5","29.55"
"JIRA-HA-2019","5.48","0.47","2.1","4.98","3.48","56.75","78.08","88.94"
"JIRA-HA-2019","4.15","0.47","2.19","5.63","2.08","6.53","14.03","11.73"
"JIRA-HA-2019","8.2","0.8","3.62","9.13","4.79","52.39","87.47","94.53"
"JIRA-RA-2019","4.69","0.49","2.66","7.02","2.58","24.41","7.31","58.39"
"JIRA-RA-2019","3.33","0.5","2","4.22","1.96","57.19","10.34","177.79"
"JIRA-RA-2019","3.71","0.38","2.06","5.66","2.03","9.69","4.69","22.91"
"JIRA-RA-2019","6.07","0.73","3.48","8.63","3.33","49.42","11.96","175.36"
"MA-SZZ-2020","12.11","1.6","3.97","11.83","4.55","78.7","43.96","125.17"
"MA-SZZ-2020","11.65","1.92","3.11","11.44","5.06","148.3","189.52","275.08"
"MA-SZZ-2020","9.11","1.15","3.13","8.67","3.29","45.6","14.49","68.97"
"MA-SZZ-2020","15.89","2.22","4.89","15.26","6.13","133.68","149.79","255.62"
