"Dataset","F1","AUC","ER","RI","AP","RR","Popt","ACC"
"Metrics-Repo-2010","561424343791488","8.32","16.18","23.6","4.69","15.09","17.63","7.13"
"Metrics-Repo-2010","3550759320492759","8.92","33.44","37.83","8.56","75.56","35.42","13.11"
"Metrics-Repo-2010","33.62","6.32","9.17","15.51","3","1.7","9.52","4.04"
"Metrics-Repo-2010","3368546062748702","12.4","31.67","40.56","9.47","63","33.64","12.59"
"JIRA-HA-2019","38.88","1.62","0.85","5.04","1.32","0","53.89","11.14"
"JIRA-HA-2019","127.71","1.57","1.81","7.27","1.63","0","184.63","28.16"
"JIRA-HA-2019","13.18","1.19","0.43","3.11","0.93","0","18.01","4.41"
"JIRA-HA-2019","124.31","2.31","1.88","8.1","2.09","0","217.12","30.14"
"JIRA-RA-2019","21.23","1.38","0.58","3.99","1.21","57.27","32.94","29.07"
"JIRA-RA-2019","50.01","1.57","0.58","4.15","1.11","235.52","110.31","73.88"
"JIRA-RA-2019","9.74","0.97","0.42","2.78","0.91","5.07","9.46","10.9"
"JIRA-RA-2019","57.46","2.14","0.82","5.61","1.63","190.21","100.11","69.8"
"MA-SZZ-2020","35.97","6.52","10.67","12.11","4.62","258.63","14.65","15.27"
"MA-SZZ-2020","99.96","22.6","31.04","20.21","5.74","891.5","23.2","26.37"
"MA-SZZ-2020","18.74","2.97","4.58","8.34","3.22","91.62","9.63","9.78"
"MA-SZZ-2020","94.6","19.55","24.78","22.03","6.46","640.57","25.34","26.2"
